wiki_data_neg_sample_5_mar_10_l2_0.00_model
Epoch 1955 :  test_rel rank 1.18649913771865
Epoch 1960 :  test_rel rank 1.18649913771865
Epoch 1965 :  test_rel rank 1.18649913771865
Epoch 1970 :  test_rel rank 1.18649913771865
Epoch 1975 :  test_rel rank 1.18649913771865
Epoch 1980 :  test_rel rank 1.18649913771865
Epoch 1985 :  test_rel rank 1.18649913771865
Epoch 1990 :  test_rel rank 1.18649913771865
Epoch 1995 :  test_rel rank 1.18649913771865
Traceback (most recent call last):
  File "/home/adityad/HyTE/HyTE-master/result_eval_relation.py", line 16, in <module>
    model_output_rel = open('results/'+args.model+'/valid_rel_pred_{}.txt'.format(k))
FileNotFoundError: [Errno 2] No such file or directory: 'results/wiki_data_neg_sample_5_mar_10_l2_0.00_model/valid_rel_pred_2000.txt'
