yago_data_neg_sample_5_mar_10_l2_0.00_model
Epoch 1035 :  test_rel rank 1.5102639296187683
Epoch 1040 :  test_rel rank 1.5102639296187683
Epoch 1045 :  test_rel rank 1.5102639296187683
Epoch 1050 :  test_rel rank 1.5102639296187683
Epoch 1055 :  test_rel rank 1.5102639296187683
Epoch 1060 :  test_rel rank 1.5102639296187683
Epoch 1065 :  test_rel rank 1.5102639296187683
Epoch 1070 :  test_rel rank 1.5102639296187683
Epoch 1075 :  test_rel rank 1.5102639296187683
Epoch 1080 :  test_rel rank 1.5102639296187683
Epoch 1085 :  test_rel rank 1.5102639296187683
Epoch 1090 :  test_rel rank 1.5102639296187683
Epoch 1095 :  test_rel rank 1.5102639296187683
Epoch 1100 :  test_rel rank 1.5102639296187683
Epoch 1105 :  test_rel rank 1.5102639296187683
Epoch 1110 :  test_rel rank 1.5102639296187683
Epoch 1115 :  test_rel rank 1.5102639296187683
Epoch 1120 :  test_rel rank 1.5102639296187683
Epoch 1125 :  test_rel rank 1.5102639296187683
Epoch 1130 :  test_rel rank 1.5102639296187683
Epoch 1135 :  test_rel rank 1.5102639296187683
Epoch 1140 :  test_rel rank 1.5102639296187683
Epoch 1145 :  test_rel rank 1.5102639296187683
Epoch 1150 :  test_rel rank 1.5102639296187683
Epoch 1155 :  test_rel rank 1.5102639296187683
Epoch 1160 :  test_rel rank 1.5102639296187683
Epoch 1165 :  test_rel rank 1.5102639296187683
Epoch 1170 :  test_rel rank 1.5102639296187683
Epoch 1175 :  test_rel rank 1.5102639296187683
Epoch 1180 :  test_rel rank 1.5102639296187683
Epoch 1185 :  test_rel rank 1.5102639296187683
Epoch 1190 :  test_rel rank 1.5102639296187683
Epoch 1195 :  test_rel rank 1.5102639296187683
Epoch 1200 :  test_rel rank 1.5102639296187683
Epoch 1205 :  test_rel rank 1.5102639296187683
Epoch 1210 :  test_rel rank 1.5102639296187683
Epoch 1215 :  test_rel rank 1.5102639296187683
Epoch 1220 :  test_rel rank 1.5102639296187683
Epoch 1225 :  test_rel rank 1.5102639296187683
Epoch 1230 :  test_rel rank 1.5102639296187683
Epoch 1235 :  test_rel rank 1.5102639296187683
Epoch 1240 :  test_rel rank 1.5102639296187683
Epoch 1245 :  test_rel rank 1.5102639296187683
Epoch 1250 :  test_rel rank 1.5102639296187683
Epoch 1255 :  test_rel rank 1.5102639296187683
Epoch 1260 :  test_rel rank 1.5102639296187683
Epoch 1265 :  test_rel rank 1.5102639296187683
Epoch 1270 :  test_rel rank 1.5102639296187683
Epoch 1275 :  test_rel rank 1.5102639296187683
Epoch 1280 :  test_rel rank 1.5102639296187683
Epoch 1285 :  test_rel rank 1.5102639296187683
Epoch 1290 :  test_rel rank 1.5102639296187683
Epoch 1295 :  test_rel rank 1.5102639296187683
Epoch 1300 :  test_rel rank 1.5102639296187683
Epoch 1305 :  test_rel rank 1.5102639296187683
Epoch 1310 :  test_rel rank 1.5102639296187683
Epoch 1315 :  test_rel rank 1.5102639296187683
Epoch 1320 :  test_rel rank 1.5102639296187683
Epoch 1325 :  test_rel rank 1.5102639296187683
Epoch 1330 :  test_rel rank 1.5102639296187683
Epoch 1335 :  test_rel rank 1.5102639296187683
Epoch 1340 :  test_rel rank 1.5102639296187683
Epoch 1345 :  test_rel rank 1.5102639296187683
Epoch 1350 :  test_rel rank 1.5102639296187683
Epoch 1355 :  test_rel rank 1.5102639296187683
Epoch 1360 :  test_rel rank 1.5102639296187683
Epoch 1365 :  test_rel rank 1.5102639296187683
Epoch 1370 :  test_rel rank 1.5102639296187683
Epoch 1375 :  test_rel rank 1.5102639296187683
Epoch 1380 :  test_rel rank 1.5102639296187683
Epoch 1385 :  test_rel rank 1.5102639296187683
Epoch 1390 :  test_rel rank 1.5102639296187683
Epoch 1395 :  test_rel rank 1.5102639296187683
Epoch 1400 :  test_rel rank 1.5102639296187683
Epoch 1405 :  test_rel rank 1.5102639296187683
Epoch 1410 :  test_rel rank 1.5102639296187683
Epoch 1415 :  test_rel rank 1.5102639296187683
Epoch 1420 :  test_rel rank 1.5102639296187683
Epoch 1425 :  test_rel rank 1.5102639296187683
Epoch 1430 :  test_rel rank 1.5102639296187683
Epoch 1435 :  test_rel rank 1.5102639296187683
Epoch 1440 :  test_rel rank 1.5102639296187683
Epoch 1445 :  test_rel rank 1.5102639296187683
Epoch 1450 :  test_rel rank 1.5102639296187683
Epoch 1455 :  test_rel rank 1.5102639296187683
Epoch 1460 :  test_rel rank 1.5102639296187683
Epoch 1465 :  test_rel rank 1.5102639296187683
Epoch 1470 :  test_rel rank 1.5102639296187683
Epoch 1475 :  test_rel rank 1.5102639296187683
Epoch 1480 :  test_rel rank 1.5102639296187683
Epoch 1485 :  test_rel rank 1.5102639296187683
Epoch 1490 :  test_rel rank 1.5102639296187683
Epoch 1495 :  test_rel rank 1.5102639296187683
Epoch 1500 :  test_rel rank 1.5102639296187683
Epoch 1505 :  test_rel rank 1.5102639296187683
Epoch 1510 :  test_rel rank 1.5102639296187683
Epoch 1515 :  test_rel rank 1.5102639296187683
