yago_type1_lit_data_model
Epoch 1350 :  test_rel rank 2.968285714285714
Epoch 1355 :  test_rel rank 2.968285714285714
Epoch 1360 :  test_rel rank 2.9674285714285715
Epoch 1365 :  test_rel rank 2.967714285714286
Epoch 1370 :  test_rel rank 2.967142857142857
Epoch 1375 :  test_rel rank 2.9665714285714286
Epoch 1380 :  test_rel rank 2.967142857142857
Epoch 1385 :  test_rel rank 2.968571428571429
Epoch 1390 :  test_rel rank 2.9694285714285718
Epoch 1395 :  test_rel rank 2.9699999999999998
Epoch 1400 :  test_rel rank 2.9699999999999998
Epoch 1405 :  test_rel rank 2.9694285714285718
Epoch 1410 :  test_rel rank 2.969142857142857
Epoch 1415 :  test_rel rank 2.968285714285714
Epoch 1420 :  test_rel rank 2.968285714285714
Epoch 1425 :  test_rel rank 2.968571428571429
Epoch 1430 :  test_rel rank 2.968571428571429
Epoch 1435 :  test_rel rank 2.970285714285714
Epoch 1440 :  test_rel rank 2.9694285714285718
Epoch 1445 :  test_rel rank 2.9705714285714286
Epoch 1450 :  test_rel rank 2.9694285714285718
Epoch 1455 :  test_rel rank 2.9705714285714286
Epoch 1460 :  test_rel rank 2.9697142857142858
Epoch 1465 :  test_rel rank 2.967714285714286
Epoch 1470 :  test_rel rank 2.968857142857143
Epoch 1475 :  test_rel rank 2.9699999999999998
Epoch 1480 :  test_rel rank 2.969142857142857
Epoch 1485 :  test_rel rank 2.969142857142857
Epoch 1490 :  test_rel rank 2.968857142857143
Epoch 1495 :  test_rel rank 2.969142857142857
Epoch 1500 :  test_rel rank 2.9694285714285718
Epoch 1505 :  test_rel rank 2.9697142857142858
Epoch 1510 :  test_rel rank 2.9697142857142858
Epoch 1515 :  test_rel rank 2.970285714285714
Epoch 1520 :  test_rel rank 2.9708571428571426
Epoch 1525 :  test_rel rank 2.9722857142857144
Epoch 1530 :  test_rel rank 2.9731428571428573
Epoch 1535 :  test_rel rank 2.9731428571428573
Epoch 1540 :  test_rel rank 2.9725714285714284
Epoch 1545 :  test_rel rank 2.9737142857142858
Epoch 1550 :  test_rel rank 2.972857142857143
